M,N,K
7393, 1024, 2048
7393, 12288, 2048
7393, 2048, 4096
7393, 2048, 512
7393, 9216, 2048
7715, 1024, 2048
7715, 12288, 2048
7715, 2048, 4096
7715, 2048, 512
7715, 9216, 2048
7753, 1024, 2048
7753, 12288, 2048
7753, 2048, 4096
7753, 2048, 512
7753, 9216, 2048
7819, 1024, 2048
7819, 12288, 2048
7819, 2048, 4096
7819, 2048, 512
7819, 9216, 2048
8, 1024, 2048
8, 12288, 2048
8, 2048, 4096
8, 2048, 512
8, 9216, 2048
80, 1024, 2048
80, 12288, 2048
80, 2048, 4096
80, 2048, 512
80, 9216, 2048
8099, 1024, 2048
8099, 12288, 2048
8099, 2048, 4096
8099, 2048, 512
8099, 9216, 2048
8129, 1024, 2048
8129, 12288, 2048
8129, 2048, 4096
8129, 2048, 512
8129, 9216, 2048
8188, 1024, 2048
8188, 12288, 2048
8188, 2048, 4096
8188, 2048, 512
8188, 9216, 2048
8192, 1024, 2048
8192, 12288, 2048
8192, 2048, 4096
8192, 2048, 512
8192, 9216, 2048
931, 1024, 2048
931, 12288, 2048
931, 2048, 4096
931, 2048, 512
931, 9216, 2048
96, 1024, 2048
96, 12288, 2048
96, 2048, 4096
96, 2048, 512
96, 9216, 2048
1, 2048, 1024
1, 2048, 128
1, 256, 2048
1, 2560, 2048
1, 3072, 2048
1024, 2048, 1024
1024, 2048, 128
1024, 256, 2048
1024, 2560, 2048
1024, 3072, 2048
1025, 2048, 1024
1025, 2048, 128
1025, 256, 2048
1025, 2560, 2048
1025, 3072, 2048
1027, 2048, 1024
1027, 2048, 128
1027, 256, 2048
1027, 2560, 2048
1027, 3072, 2048
1042, 2048, 1024
1042, 2048, 128
1042, 256, 2048
1042, 2560, 2048
1042, 3072, 2048
1051, 2048, 1024
1051, 2048, 128
1051, 256, 2048
1051, 2560, 2048
1051, 3072, 2048
1055, 2048, 1024
1055, 2048, 128
1055, 256, 2048
1055, 2560, 2048
1055, 3072, 2048
1057, 2048, 1024
1057, 2048, 128
1057, 256, 2048
1057, 2560, 2048
1057, 3072, 2048
1069, 2048, 1024
1069, 2048, 128
1069, 256, 2048
1069, 2560, 2048
1069, 3072, 2048
1072, 2048, 1024
1072, 2048, 128
1072, 256, 2048
1072, 2560, 2048
1072, 3072, 2048
1074, 2048, 1024
1074, 2048, 128
1074, 256, 2048
1074, 2560, 2048
1074, 3072, 2048
1091, 2048, 1024
1091, 2048, 128
1091, 256, 2048
1091, 2560, 2048
1091, 3072, 2048
112, 2048, 1024
112, 2048, 128
112, 256, 2048
112, 2560, 2048
112, 3072, 2048
1128, 2048, 1024
1128, 2048, 128
1128, 256, 2048
1128, 2560, 2048
1128, 3072, 2048
1136, 2048, 1024
1136, 2048, 128
1136, 256, 2048
1136, 2560, 2048
1136, 3072, 2048
128, 2048, 1024
128, 2048, 128
128, 256, 2048
128, 2560, 2048
128, 3072, 2048
1514, 2048, 1024
1514, 2048, 128
1514, 256, 2048
1514, 2560, 2048
1514, 3072, 2048
16, 2048, 1024
16, 2048, 128
16, 256, 2048
16, 2560, 2048
16, 3072, 2048
2, 2048, 1024
2, 2048, 128
2, 256, 2048
2, 2560, 2048
2, 3072, 2048
2017, 2048, 1024
2017, 2048, 128
2017, 256, 2048
2017, 2560, 2048
2017, 3072, 2048
2048, 2048, 1024
2048, 2048, 128
2048, 256, 2048
2048, 2560, 2048
2048, 3072, 2048
2151, 2048, 1024
2151, 2048, 128
2151, 256, 2048
2151, 2560, 2048
2151, 3072, 2048
2332, 2048, 1024
2332, 2048, 128
2332, 256, 2048
2332, 2560, 2048
2332, 3072, 2048
2341, 2048, 1024
2341, 2048, 128
2341, 256, 2048
2341, 2560, 2048
2341, 3072, 2048
256, 2048, 1024
256, 2048, 128
256, 256, 2048
256, 2560, 2048
256, 3072, 2048
3072, 2048, 1024
3072, 2048, 128
3072, 256, 2048
3072, 2560, 2048
3072, 3072, 2048
3073, 2048, 1024
3073, 2048, 128
3073, 256, 2048
3073, 2560, 2048
3073, 3072, 2048
3089, 2048, 1024
3089, 2048, 128
3089, 256, 2048
3089, 2560, 2048
3089, 3072, 2048
3110, 2048, 1024
3110, 2048, 128
3110, 256, 2048
3110, 2560, 2048
3110, 3072, 2048
3137, 2048, 1024
3137, 2048, 128
3137, 256, 2048
3137, 2560, 2048
3137, 3072, 2048
32, 2048, 1024
32, 2048, 128
32, 256, 2048
32, 2560, 2048
32, 3072, 2048
3613, 2048, 1024
3613, 2048, 128
3613, 256, 2048
3613, 2560, 2048
3613, 3072, 2048
4, 2048, 1024
4, 2048, 128
4, 256, 2048
4, 2560, 2048
4, 3072, 2048
4096, 2048, 1024
4096, 2048, 128
4096, 256, 2048
4096, 2560, 2048
4096, 3072, 2048
4097, 2048, 1024
4097, 2048, 128
4097, 256, 2048
4097, 2560, 2048
4097, 3072, 2048
4109, 2048, 1024
4109, 2048, 128
4109, 256, 2048
4109, 2560, 2048
4109, 3072, 2048
4143, 2048, 1024
4143, 2048, 128
4143, 256, 2048
4143, 2560, 2048
4143, 3072, 2048
4345, 2048, 1024
4345, 2048, 128
4345, 256, 2048
4345, 2560, 2048
4345, 3072, 2048
4413, 2048, 1024
4413, 2048, 128
4413, 256, 2048
4413, 2560, 2048
4413, 3072, 2048
48, 2048, 1024
48, 2048, 128
48, 256, 2048
48, 2560, 2048
48, 3072, 2048
512, 2048, 1024
512, 2048, 128
512, 256, 2048
512, 2560, 2048
512, 3072, 2048
5121, 2048, 1024
5121, 2048, 128
5121, 256, 2048
5121, 2560, 2048
5121, 3072, 2048
5123, 2048, 1024
5123, 2048, 128
5123, 256, 2048
5123, 2560, 2048
5123, 3072, 2048
5133, 2048, 1024
5133, 2048, 128
5133, 256, 2048
5133, 2560, 2048
5133, 3072, 2048
5185, 2048, 1024
5185, 2048, 128
5185, 256, 2048
5185, 2560, 2048
5185, 3072, 2048
5191, 2048, 1024
5191, 2048, 128
5191, 256, 2048
5191, 2560, 2048
5191, 3072, 2048
588, 2048, 1024
588, 2048, 128
588, 256, 2048
588, 2560, 2048
588, 3072, 2048
6146, 2048, 1024
6146, 2048, 128
6146, 256, 2048
6146, 2560, 2048
6146, 3072, 2048
6147, 2048, 1024
6147, 2048, 128
6147, 256, 2048
6147, 2560, 2048
6147, 3072, 2048
6155, 2048, 1024
6155, 2048, 128
6155, 256, 2048
6155, 2560, 2048
6155, 3072, 2048
6377, 2048, 1024
6377, 2048, 128
6377, 256, 2048
6377, 2560, 2048
6377, 3072, 2048
64, 2048, 1024
64, 2048, 128
64, 256, 2048
64, 2560, 2048
64, 3072, 2048
6401, 2048, 1024
6401, 2048, 128
6401, 256, 2048
6401, 2560, 2048
6401, 3072, 2048
7121, 2048, 1024
7121, 2048, 128
7121, 256, 2048
7121, 2560, 2048
7121, 3072, 2048
7169, 2048, 1024
7169, 2048, 128
7169, 256, 2048
7169, 2560, 2048
7169, 3072, 2048
7170, 2048, 1024
7170, 2048, 128
7170, 256, 2048
7170, 2560, 2048
7170, 3072, 2048
7176, 2048, 1024
7176, 2048, 128
7176, 256, 2048
7176, 2560, 2048
7176, 3072, 2048
7177, 2048, 1024
7177, 2048, 128
7177, 256, 2048
7177, 2560, 2048
7177, 3072, 2048
7185, 2048, 1024
7185, 2048, 128
7185, 256, 2048
7185, 2560, 2048
7185, 3072, 2048
7206, 2048, 1024
7206, 2048, 128
7206, 256, 2048
7206, 2560, 2048
7206, 3072, 2048
7217, 2048, 1024
7217, 2048, 128
7217, 256, 2048
7217, 2560, 2048
7217, 3072, 2048
7257, 2048, 1024
7257, 2048, 128
7257, 256, 2048
7257, 2560, 2048
7257, 3072, 2048
7265, 2048, 1024
7265, 2048, 128
7265, 256, 2048
7265, 2560, 2048
7265, 3072, 2048
7393, 2048, 1024
7393, 2048, 128
7393, 256, 2048
7393, 2560, 2048
7393, 3072, 2048
7461, 2048, 1024
7461, 2048, 128
7461, 256, 2048
7461, 2560, 2048
7461, 3072, 2048
7634, 2048, 1024
7634, 2048, 128
7634, 256, 2048
7634, 2560, 2048
7634, 3072, 2048
773, 2048, 1024
773, 2048, 128
773, 256, 2048
773, 2560, 2048
773, 3072, 2048
8, 2048, 1024
8, 2048, 128
8, 256, 2048
8, 2560, 2048
8, 3072, 2048
80, 2048, 1024
80, 2048, 128
80, 256, 2048
80, 2560, 2048
80, 3072, 2048
8129, 2048, 1024
8129, 2048, 128
8129, 256, 2048
8129, 2560, 2048
8129, 3072, 2048
8192, 2048, 1024
8192, 2048, 128
8192, 256, 2048
8192, 2560, 2048
8192, 3072, 2048
822, 2048, 1024
822, 2048, 128
822, 256, 2048
822, 2560, 2048
822, 3072, 2048
96, 2048, 1024
96, 2048, 128
96, 256, 2048
96, 2560, 2048
96, 3072, 2048
16384,256,2048
32768,256,2048
1,512,7168
2,512,7168
4,512,7168
8,512,7168
32768,512,7168
1,576,7168
2,576,7168
4,576,7168
8,576,7168
32768,576,7168
16384,1024,2048
32768,1024,2048
1,1024,4096
2,1024,4096
4,1024,4096
8,1024,4096
16,1024,4096
32,1024,4096
64,1024,4096
256,1024,4096
512,1024,4096
1024,1024,4096
2048,1024,4096
4096,1024,4096
8192,1024,4096
16384,1024,4096
32768,1024,4096
1,1536,7168
2,1536,7168
4,1536,7168
8,1536,7168
32768,1536,7168
16384,2048,128
32768,2048,128
16384,2048,512
32768,2048,512
16384,2048,1024
32768,2048,1024
16384,2048,4096
32768,2048,4096
16384,2560,2048
32768,2560,2048
16384,3072,2048
32768,3072,2048
1,4096,1280
2,4096,1280
4,4096,1280
8,4096,1280
16,4096,1280
32,4096,1280
64,4096,1280
256,4096,1280
512,4096,1280
1024,4096,1280
2048,4096,1280
4096,4096,1280
8192,4096,1280
16384,4096,1280
32768,4096,1280
1,4608,7168
2,4608,7168
4,4608,7168
8,4608,7168
32768,4608,7168
1,7168,256
2,7168,256
4,7168,256
8,7168,256
32768,7168,256
1,7168,2304
2,7168,2304
4,7168,2304
8,7168,2304
32768,7168,2304
16384,9216,2048
32768,9216,2048
16384,12288,2048
32768,12288,2048
